"Source","Target","flights_count","flight_year"
"KROC","KTEB","1.0","2020"
"KSEA","KAKH","2.0","2020"
"EDFP","EDFP","3.0","2020"
"KDEN","KMIA","12.0","2020"
"K1A5","KTOC","1.0","2020"
"KMSP","KSJC","3.0","2020"
"KANP","KPVG","1.0","2020"
"VA04","KROA","1.0","2020"
"KRFD","KRFD","2.0","2020"
"FA08","09FD","1.0","2020"
"KO27","KO22","2.0","2020"
"KDPA","KMKC","5.0","2020"
"KECP","KM73","1.0","2020"
"KI69","KHAO","1.0","2020"
"LDRG","LDRG","1.0","2020"
"KC81","LL97","10.0","2020"
"K8D1","1WN2","1.0","2020"
"KTYS","1FD4","1.0","2020"
"KCHO","KLKU","1.0","2020"
"NH78","MA72","1.0","2020"
"KLGA","49OH","2.0","2020"
"KPAO","CA66","4.0","2020"
"K1O3","15CL","1.0","2020"
"EDDM","LFPG","5.0","2020"
"KE80","KABQ","1.0","2020"
"EGLF","EGGW","1.0","2020"
"KRNM","KOKB","1.0","2020"
"KY51","15IA","1.0","2020"
"KLAS","36II","2.0","2020"
"KLNK","KDAL","1.0","2020"
"KEUL","ID00","3.0","2020"
"KHND","KHIO","1.0","2020"
"KEYE","KSEA","2.0","2020"
"TX49","KDWH","2.0","2020"
"KX06","KHWO","3.0","2020"
"KNUW","CA97","1.0","2020"
"EDWQ","EDDN","1.0","2020"
"KROS","KCBG","1.0","2020"
"MI26","KPTK","3.0","2020"
"64GA","KMAC","1.0","2020"
"KJFK","KALB","1.0","2020"
"KGMU","KDFW","1.0","2020"
"EDDT","EHAM","3.0","2020"
"KDTW","7NY4","2.0","2020"
"CYWG","CPF3","2.0","2020"
"YBAF","YNAN","2.0","2020"
"KTEB","KBUR","1.0","2020"
"47II","KSMD","1.0","2020"
"OEDF","OMDB","2.0","2020"
"KDPA","KVNC","1.0","2020"
"KORD","KLSE","3.0","2020"
"KFMY","64GA","1.0","2020"
"KSOP","NC52","1.0","2020"
"KSET","MO46","2.0","2020"
"KO27","9CL0","2.0","2020"
"KMCC","KRBL","1.0","2020"
"LLBG","UUWW","1.0","2020"
"LSZH","EDDK","1.0","2020"
"KAUS","KLGB","1.0","2020"
"KAFW","KCNW","1.0","2020"
"KCPT","KGKY","1.0","2020"
"4SC4","KCEU","1.0","2020"
"EDFV","EDKB","1.0","2020"
"KOJC","KOWI","1.0","2020"
"UDYZ","UMMS","1.0","2020"
"KCNO","KNFG","1.0","2020"
"VABB","OBBI","1.0","2020"
"KCDW","K19N","1.0","2020"
"10TE","5FD5","1.0","2020"
"19AZ","19AZ","1.0","2020"
"KRNT","KORS","2.0","2020"
"KATL","9MI6","1.0","2020"
"8MN4","KFCM","1.0","2020"
"9TX5","60TE","1.0","2020"
"KLOT","1LL0","1.0","2020"
"KPRB","0CA9","2.0","2020"
"WI97","KETB","1.0","2020"
"KAPA","KDPA","1.0","2020"
"KMCX","K5I4","2.0","2020"
"KMCC","KGYR","1.0","2020"
"XS92","KDTO","1.0","2020"
"KMSP","8MN3","1.0","2020"
"BIKF","LKVO","1.0","2020"
"LEMD","OMAD","1.0","2020"
"KHSV","KCLT","1.0","2020"
"03CO","KBDU","1.0","2020"
"YPAD","YCVG","1.0","2020"
"KVPC","GE25","1.0","2020"
"KPCM","FL57","1.0","2020"
"K58M","PA73","1.0","2020"
"4GA9","GA36","1.0","2020"
"36II","OH50","1.0","2020"
"KOAK","36II","1.0","2020"
"K57C","K57C","1.0","2020"
"4OH3","KFRH","1.0","2020"
"LEAL","EDDL","2.0","2020"
"YPJT","YPAD","2.0","2020"
"KORF","KSPA","1.0","2020"
"KEGI","KGZH","1.0","2020"
