"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","avg_cases_per_week_14","population","avg_cases_population_ratio_per_week_14","covid19_percentage_label"
"K7G9","Canton Municipal Airport","small_airport","43.308899","-96.570999","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KAIO","Atlantic Municipal Airport","small_airport","41.40729904","-95.04689789","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KCQX","Chatham Municipal Airport","small_airport","41.68840026855469","-69.989501953125","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KDRA","Desert Rock Airport","medium_airport","36.6194","-116.032997","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KLWC","Lawrence Municipal Airport","small_airport","39.01119995","-95.21659851","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KMCW","Mason City Municipal Airport","medium_airport","43.157798767100005","-93.3312988281","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KMMU","Morristown Municipal Airport","medium_airport","40.799400329589844","-74.41490173339844","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KN73","Red Lion Airport","small_airport","39.904202","-74.749496","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KSER","Freeman Municipal Airport","small_airport","38.923599243164","-85.907402038574","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KTTA","Sanford-Lee County Regional Airport","small_airport","35.58369827","-79.10079956","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
