"Source","Target","Weight"
"3LA3","2XA2","1.0"
"KFXE","1NC0","1.0"
"KLGB","KFOE","1.0"
"EGMD","EGKL","2.0"
"KDFW","KBVY","1.0"
"KMTN","24SC","1.0"
"YWOL","YASS","1.0"
"KHIO","KOSU","1.0"
"KCGF","PN37","1.0"
"LJLJ","EFHK","3.0"
"FL10","96FL","1.0"
"KORD","3WN9","1.0"
"ESMK","ESMK","11.0"
"KRFD","KPHX","4.0"
"XS11","05TE","1.0"
"EHRD","EDNL","1.0"
"KBWI","0WI6","2.0"
"KHEF","VA02","1.0"
"KPSF","KBOS","1.0"
"ESOW","ESSV","1.0"
"KPHL","9OI3","1.0"
"KENW","KMSN","3.0"
"KDVT","KLAS","1.0"
"KBKL","II51","1.0"
"KMPI","45CN","1.0"
"86TX","K1T7","1.0"
"OK85","KOPF","1.0"
"KDOV","EDFH","1.0"
"OG02","06OR","2.0"
"KOPF","EIWT","1.0"
"OTHH","YPAD","1.0"
"LFLY","LSZH","1.0"
"LOGG","LOWG","1.0"
"LIRA","EPKT","1.0"
"KBQR","KOWD","1.0"
"82PA","KFLL","1.0"
"05OK","05OK","3.0"
"EGNP","LFPB","1.0"
"LSPN","LSPV","1.0"
"EGTO","EGSX","1.0"
"KFCM","MN63","1.0"
"47CO","KAPA","1.0"
"LTBA","EDWQ","1.0"
"PANC","KIND","4.0"
"KCRQ","KRAL","5.0"
"KRAC","KMSP","1.0"
"EDVC","EDVM","1.0"
"CT44","CT96","1.0"
"II91","KEYE","1.0"
"35II","KHXD","1.0"
"KDEN","KSEZ","1.0"
"KN96","KIAD","1.0"
"KMDW","0GA3","1.0"
"1XS1","EGLL","1.0"
"2OA7","1OA6","1.0"
"KXBP","KCWC","1.0"
"KPHL","0NK9","1.0"
"YRID","YBSS","1.0"
"KGRK","KPDX","1.0"
"KVNY","KP19","1.0"
"OH65","KLUK","1.0"
"KSNS","KHHR","1.0"
"EICK","EPGD","1.0"
"KEFT","4IS8","1.0"
"KFPK","11II","1.0"
"KF70","KL22","1.0"
"KACY","MA64","1.0"
"KDTW","AL18","1.0"
"CSY3","CSP5","1.0"
"EDDB","LFPB","3.0"
"KNFW","2TE2","1.0"
"KPWG","TE92","1.0"
"UUEE","LFHN","1.0"
"EDDB","EDDH","2.0"
"2II6","KEYE","1.0"
"KCLT","TBPB","2.0"
"KHHR","KMOD","1.0"
"EGAA","EGAC","1.0"
"EKSS","EKAH","1.0"
"LIPS","LFBD","2.0"
"SBGL","SSFE","1.0"
"KBFI","KHEF","1.0"
"EGLL","LKTO","2.0"
"KLOM","KPHL","1.0"
"KIAD","KCMA","1.0"
"KIAD","EHRD","1.0"
"KROC","FL88","1.0"
